title,category,total_revenue,revenue_rank
"ALICE FANTASIA",Classics,NULL,1
"APOLLO TEEN",Drama,NULL,1
"ARGONAUTS TOWN",Animation,NULL,1
"ARK RIDGEMONT",Action,NULL,1
"ARSENIC INDEPENDENCE",Travel,NULL,1
"BOONDOCK BALLROOM",Travel,NULL,1
"BUTCH PANTHER",New,NULL,1
"CATCH AMISTAD",Foreign,NULL,1
"CHINATOWN GLADIATOR",New,NULL,1
"CHOCOLATE DUCK",Foreign,NULL,1
"COMMANDMENTS EXPRESS",Horror,NULL,1
"CROSSING DIVORCE",Foreign,NULL,1
"CROWDS TELEMARK",Sci-Fi,NULL,1
"CRYSTAL BREAKING",Foreign,NULL,1
"DAZED PUNK",Games,NULL,1
"DELIVERANCE MULHOLLAND",Documentary,NULL,1
"FIREHOUSE VIETNAM",Action,NULL,1
"FLOATS GARDEN",Animation,NULL,1
"FRANKENSTEIN STRANGER",Comedy,NULL,1
"GLADIATOR WESTWARD",Family,NULL,1
"GUMP DATE",Travel,NULL,1
"HATE HANDICAP",Comedy,NULL,1
"HOCUS FRIDA",Family,NULL,1
"KENTUCKIAN GIANT",Horror,NULL,1
"KILL BROTHERHOOD",Documentary,NULL,1
"MUPPET MILE",Foreign,NULL,1
"ORDER BETRAYED",Travel,NULL,1
"PEARL DESTINY",Foreign,NULL,1
"PERDITION FARGO",Sports,NULL,1
"PSYCHO SHRUNK",Games,NULL,1
"RAIDERS ANTITRUST",Documentary,NULL,1
"RAINBOW SHOCK",Documentary,NULL,1
"ROOF CHAMPION",Games,NULL,1
"SISTER FREDDY",Children,NULL,1
"SKY MIRACLE",Action,NULL,1
"SUICIDES SILENCE",Sci-Fi,NULL,1
"TADPOLE PARK",Classics,NULL,1
"TREASURE COMMAND",Horror,NULL,1
"VILLAIN DESPERATE",Documentary,NULL,1
"VOLUME HOUSE",Classics,NULL,1
"WAKE JAWS",New,NULL,1
"WALLS ARTIST",Children,NULL,1
